Surface Vector Feature Analysis Report
======================================

Method: Random Forest Feature Importance
Why: Identifies which surface vectors (Magnitude/Angle) most strongly differentiate PD vs Healthy.

Ranked Features:
              Feature  Importance
0        Eye_Left_Mag    0.051040
1       Eye_Right_Mag    0.048860
2        Jaw_Left_Mag    0.048046
3       Jaw_Right_Mag    0.047054
4      Cheek_Left_Mag    0.046515
5     Cheek_Right_Mag    0.046286
6      Brow_Right_Mag    0.044246
7       Brow_Left_Mag    0.043781
8     Jaw_Right_Angle    0.041581
9     Brow_Left_Angle    0.040567
10      Lips_Left_Mag    0.040246
11  Cheek_Right_Angle    0.039782
12     Lips_Right_Mag    0.039781
13   Brow_Right_Angle    0.039775
14     Mouth_Left_Mag    0.039691
15     Jaw_Left_Angle    0.039567
16   Cheek_Left_Angle    0.039472
17    Mouth_Right_Mag    0.039410
18    Eye_Right_Angle    0.038233
19    Lips_Left_Angle    0.037462
20     Eye_Left_Angle    0.037408
21   Mouth_Left_Angle    0.037339
22   Lips_Right_Angle    0.036987
23  Mouth_Right_Angle    0.036868
